map,goals,agents,alg,success_rate,soc_all_median,time_feas_median,conflicts_median,convergence_curve
warehouse,3.0,5,Base,1.0,285.0,0.6692463729996234,0.0,"[434.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0]"
warehouse,3.0,5,CHHM,1.0,280.0,0.652201087505091,0.0,"[434.0, 287.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0]"
warehouse,3.0,5,RGCM,1.0,279.0,0.7119350385037251,0.0,"[434.0, 281.0, 280.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0, 279.0]"
warehouse,3.0,10,Base,0.8,549.0,2.109068259000196,1.0,"[6839.8, 610.0, 576.0, 576.0, 554.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0, 549.0]"
warehouse,3.0,10,CHHM,1.0,505.0,2.5878639220027253,0.0,"[6839.8, 610.0, 554.0, 526.0, 516.0, 506.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0, 505.0]"
warehouse,3.0,10,RGCM,1.0,507.0,2.7548830970044946,0.0,"[6839.8, 610.0, 554.0, 554.0, 511.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0, 507.0]"
warehouse,3.0,25,Base,0.0,126739.0,,24.0,"[190703.2, 190703.2, 190703.2, 190703.2, 145064.40000000002, 143410.00000000003, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0, 126739.0]"
warehouse,3.0,25,CHHM,0.0,142402.0,,25.0,"[190703.2, 190703.2, 190703.2, 190703.2, 145064.40000000002, 143410.00000000003, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0, 142402.0]"
warehouse,3.0,25,RGCM,0.0,106489.0,,20.0,"[190703.2, 190703.2, 190703.2, 190703.2, 145064.40000000002, 145064.40000000002, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001, 106489.00000000001]"
warehouse,3.0,50,Base,0.0,2503989.8000000003,,154.0,"[2552728.9, 2552728.9, 2552728.9, 2552728.9, 2552728.9, 2552728.9, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003]"
warehouse,3.0,50,CHHM,0.0,2503989.8000000003,,154.0,"[2552728.9, 2552728.9, 2552728.9, 2552728.9, 2552728.9, 2552728.9, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003]"
warehouse,3.0,50,RGCM,0.0,2422793.3000000003,,149.0,"[2552728.9, 2552728.9, 2552728.9, 2552728.9, 2552728.9, 2552728.9, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003]"
